service_id,date,exception_type
7.727,20260907,2
7.734,20261126,2
Q.727,20260907,2
W.727,20260907,2
k.727,20260831,1
k.734,20261111,2
k.734,20261029,2
k.734,20261002,2
k.734,20261030,2
D.727,20260907,2
D.734,20261126,2
A.727,20260907,2
X.727,20260907,1
X.734,20261126,1
e.727,20260907,1
f.734,20261126,1
g.734,20261127,1
